X,Y,id_propi,POBLADO,PROVINCIA,ANYO,coord_X,coord_Y,1945,1956,2014
233479.0683,4120122.909,1,Adriano,Sevilla,1965,-6.00251966,37.18954525,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/1.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/1.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/1.jpeg
203745.7458,4495915.477,2,Águeda del Castillo,Salamanca,1949,-6.49912514,40.56102988,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/2.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/2.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/2.jpeg
216727.0904,4430097.081,3,Alagón del Caudillo,Cáceres,1957,-6.31697452,39.97359138,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/3.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/3.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/3.jpeg
334890.1409,4419643.235,4,Alberche del Caudillo,Toledo,1952,-4.93170682,39.91080127,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/4.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/4.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/4.jpeg
635892.5355,4685440.623,7,Alera,Zaragoza,1960,-1.35114641,42.3093526,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/7.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/7.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/7.jpeg
372137.4478,4206793.882,8,Algallarín,Córdoba,1953,-4.45629543,37.99980465,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/8.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/8.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/8.jpeg
244389.6217,4332444.204,10,Alonso Ojeda,Cáceres,1964,-5.95595098,39.10369107,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/10.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/10.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/10.jpeg
170766.1794,4302352.387,11,Alvarado,Badajoz,1961,-6.79133648,38.80844644,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/11.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/11.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/11.jpeg
289140.4377,4537793.319,12,Amatos,Salamanca,1962,-5.50572878,40.96407912,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/12.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/12.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/12.jpeg
135760.7105,4800189.961,13,Arneiro,Lugo,1958,-7.48789463,43.26643242,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/13.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/13.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/13.jpeg
201992.3731,4498290.55,14,Arrabal de San Sebastián,Salamanca,1953,-6.52091819,40.58175749,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/14.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/14.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/14.jpeg
495648.7121,4212073.145,15,Arroturas,Jaén,1956,-3.0495986,38.05639312,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/15.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/15.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/15.jpeg
700642.1749,4652990.236,16,Artasona del Llano,Huesca,1952,-0.57724968,42.00337234,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/16.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/16.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/16.jpeg
574888.4699,4081992.708,17,Atochares,Almería,1960,-2.15964731,36.88092472,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/17.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/17.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/17.jpeg
168969.7736,4313153.115,18,Balboa,Badajoz,1955,-6.81717629,38.90488921,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/18.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/18.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/18.jpeg
188830.8771,4308936.025,19,Barbaño,Badajoz,1953,-6.58667501,38.87422139,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/19.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/19.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/19.jpeg
237586.1773,4059796.175,20,Barca de la Florida,Cádiz,1956,-5.93539845,36.64761049,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/20.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/20.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/20.jpeg
