DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,AGAETE / TIERRA DE MANUEL,,Explotación,AYUNTAMIENTO DE AGAETE,R. GLZ. NEGRIN,,01-01-1952,--,-749898,3169703,Riego                                             -  -,-  -,,"21,430","0,000","0,000","0,000",,Gravedad,"22,000","30,000","484,000","462,000","462,000","2,000",000,-,001,"13668,000 -","No, Labio fijo -",,BARRANCO AGAETE,AGAETE,LAS PALMAS
,AGUILAR DE CAMPOO,,Explotación,ESTADO,L. DIAZ-CANEJA,A,31-12-1963,--,0394705,4739000,Hidroeléctrico                                    -  - Riego,-  -,,"546,000","338,000","624,500","700,000",,Gravedad,"48,000","500,000","943,300","895,300","900,000","269,000",000,-,001,"750,000 -",Compuertas. -,,PISUERGA,AGUILAR DE CAMPOO,DUERO
,AGUILAR DE CAMPOO (DIQUE DEL COLLADO 1),,Explotación,ESTADO,L. DIAZ,A,31-12-1963,--,0394705,4739000,Hidroeléctrico                                    -  - Riego,-  -,,"546,000","338,000","624,500","700,000",,Materiales sueltos homogenea,"7,000","207,500","944,000","937,000","938,000","16,760",000,-,000,-,-,,PISUERGA,AGUILAR DE CAMPOO,DUERO
,AGUILAR DE CAMPOO (DIQUE DEL COLLADO 2),,Explotación,ESTADO,L. DIAZ,A,31-12-1963,--,0394705,4739000,Hidroeléctrico                                    -  - Riego,-  -,,"546,000","338,000","624,500","700,000",,Materiales sueltos homogenea,"10,500","325,000","944,000","933,500","934,500","54,540",000,-,000,-,-,,PISUERGA,AGUILAR DE CAMPOO,DUERO
,AGULO,LA PALMI,Explotación,AUTONOMIA CANARIAS,F. ASCANIO MONTEMAYOR,,31-12-1958,--,-904239,3201160,Riego                                             -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"25,000","139,000","545,850","520,850","520,850","16,740",000,-,001,"10,000 -","No, Labio fijo -",,PALMITA,AGULO,TENERIFE
,ALARCON,,Explotación,ESTADO,J.L DE ELIO,A,30-09-1955,--,0576382,4380018,Regulación                                        -  - Riego,-  -,,"3033,000","518,000","490,000","1700,000",,Gravedad,"67,000","317,000","814,000","747,000","752,200","229,630",001,"70,000 -",001,"1750,000 -",Compuertas. -,,JUCAR,ALARCON,JÚCAR
,ALCORA,,Explotación,ESTADO,R. AZCOITI,A,01-01-1958,--,0737511,4442314,Riego                                             -  -,-  -,,"109,000","15,380","357,000","330,000",,Gravedad,"30,000","108,000","303,750","273,750","274,750","24,000",001,"15,000 -",001,"330,000 -",Compuertas. -,,LUCENA,ALCORA,JÚCAR
,ALMODOVAR,,Explotación,JUNTA DE ANDALUCÍA,J.L. RAMIREZ VACAS,A,31-12-1972,01-01-1997,0261730,4004456,Abastecimiento                                    -  - Riego,-  -,,"16,500","0,000","0,000","600,000",,Gravedad,"42,000","126,000","104,350","62,350","70,000","40,490",001,"21,200 -",001,"340,000 -",Compuertas. -,,ALMODOVAR,TARIFA,C. ATLÁNTICA ANDALUZA
,AMADORIO,,Explotación,ESTADO,J. AURA CANDELA,A,01-01-1957,--,0738390,4272435,Abastecimiento                                    -  - Riego,-  -,,"205,000","5,500","360,000","400,000",,Gravedad,"64,150","333,000","129,650","65,500","71,650","267,890",001,"68,000 -",001,"520,000 -",Compuertas. -,,AMADORIO,VILLAJOYOSA,JÚCAR
,ARAYA DE ARRIBA,,Explotación,"CAMPOS DE ARAYA, S.A.",V-GARCIA Y J. LIRIA,,01-01-1958,--,0184317,4380585,Riego                                             -  -,-  -,,"16,900","0,000","0,000","48,000",,Gravedad,"18,800","163,000","337,000","318,200","320,750","6,680",001,"1,900 -",001,"48,000 -","No, Labio fijo -",,ANCIANES,BROZAS,TAJO
,ARAYA DE ARRIBA (DIQUE DEL COLLADO),,Explotación,"CAMPOS DE ARAYA, S.A.",V-GARCIA Y J. LIRIA,,01-01-1958,--,0184298,4380608,Riego                                             -  -,-  -,,"16,900","0,000","0,000","48,000",,Contrafuertes,"5,500","450,000","336,500","331,000","331,000","5,000",000,-,001,"48,000 -","No, Labio fijo -",,ANCIANES,BROZAS,TAJO
,ARCOS,,Explotación,JUNTA DE ANDALUCÍA,J-ARRAEZ,A,01-01-1965,--,0250520,4071143,Hidroeléctrico                                    -  - Riego,-  -,,"25,000","0,000","0,000","0,000",,Gravedad,"22,000","191,000","69,000","47,000","54,500","25,000",002,"6,000 - 5,000",001,"1728,000 -",Compuertas. -,,GUADALETE,ARCOS DE LA FRONTERA,C. ATLÁNTICA ANDALUZA
,ARCOS (DIQUE DEL COLLADO),,Explotación,JUNTA DE ANDALUCÍA,J-ARRAEZ,A,01-01-1965,--,0250520,4071143,Hidroeléctrico                                    -  - Riego,-  -,,"25,000","0,000","0,000","0,000",,Materiales sueltos núcleo arcilla,"17,000","514,000","70,000","53,000","60,000","204,000",000,-,000,-,-,,GUADALETE,ARCOS DE LA FRONTERA,C. ATLÁNTICA ANDALUZA
,ARGOS,,Explotación,ESTADO,A. BOTIA PANTOJA,A,18-10-1970,--,0611015,4225854,Defensa frente a avenidas                         -  - Riego,-  -,,"453,140","12,000","374,000","700,000",,Materiales sueltos P hormigón,"33,000","316,000","416,660","383,660","385,660","375,340",001,"14,100 -",001,"750,000 -",Compuertas. -,,ARGOS,CEHEGIN,SEGURA
,ARIÑEZ,,Explotación,AYUNTAMIENTO DE LAS PALMAS,SATURNINO ALONSO,,01-01-1975,--,-740214,3164361,Abastecimiento                                    -  - Riego,-  -,,"1,270","0,000","0,000","6,500",,Contrafuertes,"52,500","142,000","1005,000","952,500","963,000","60,000",001,"1,990 -",001,"6,500 -","No, Labio fijo -",,B. DEL LAVADERO,VEGA DE SAN MATEO,LAS PALMAS
,"ARROYOS, LOS",,Explotación,A. Y E. ARROYO DIAZ-MERRY,A. DE JOYA,,31-12-1967,--,0411261,4493850,Riego                                             -  -,-  -,,"12,000","0,000","0,000","100,000",,Gravedad,"17,100","300,220","839,500","822,400","824,800","12,820",000,-,001,"100,000 -","No, Labio fijo -",,LADRON,"ESCORIAL, EL",TAJO
,AYAGAURES,,Explotación,CABILDO DE GRAN CANARIA,D-MADERA,,01-01-1952,--,-746911,3145472,Riego                                             -  -,-  -,,"22,460","0,000","0,000","0,000",,Gravedad,"40,000","162,000","311,000","271,000","271,000","21,000",000,-,001,"65,998 -","No, Labio fijo -",,BARRANCO DE AYAGAURES,SAN BARTOLOME DE TIRAJANA,LAS PALMAS
,AYOO DE VIDRIALES,,Explotación,COMUNIDAD DE REGANTES AYO. DE VIDRIALES,TRACSA,B,01-01-1975,--,0245440,4670890,Riego                                             -  -,-  -,,"1,890","0,000","491,000","39,040",,Materiales sueltos homogenea,"14,400","342,400","837,780","823,380","827,380","58,790",001,"0,260 -",001,"16,000 -","No, Labio fijo -",,FUENTE MILDEDOS,AYOO DE VIDRIALES,DUERO
,AZUTAN,,Explotación,IBERDROLA GENERACION S.A.,D. BOUDES Y N. NAVALON,A,31-12-1969,--,0321222,4405375,Hidroeléctrico                                    -  - Riego,-  -,,"35095,000","0,000","0,000","6900,000",,Contrafuertes,"55,000","500,000","357,000","302,000","317,000","212,000",001,"200,000 -",001,"6030,000 -",Compuerta segm -,,TAJO,AZUTAN Y ALCOLEA DE TAJO,TAJO
,BALAGUER,BALAGUER PARTIDOR,Explotación,"ENDESA GENERACIÓN, S.A.",S-GOSSE,,31-12-1958,--,0818394,4638887,Hidroeléctrico                                    -  - Riego,-  -,,"7200,000","0,000","0,000","3000,000",,Gravedad y Materiales sueltos homogenea,"11,000","458,000","231,500","220,500","223,100","45,790",000,-,001,"3000,000 -",Compuertas. -,,SEGRE,OS DE BALAGUER,EBRO
,BALAGUERAS,,Explotación,ESTADO,J-SANCHO TELLO,,31-12-1957,--,0697715,4454450,Riego                                             -  -,-  -,,"0,300","0,000","0,000","80,000",,Gravedad,"18,300","92,000","1017,500","999,200","1001,400","6,200",000,-,001,"87,000 -","No, Labio fijo -",,PALOMAREJAS,RUBIELOS DE MORA,JÚCAR
,BARCENA,,Explotación,ESTADO,A. CORRAL Y CIA,A,31-12-1960,--,0207752,4720272,Hidroeléctrico                                    -  - Riego,-  -,,"832,000","707,000","1580,000","1450,000",,Gravedad,"109,000","166,000","625,000","516,000","530,000","330,730",001,"80,000 -",002,"1050,000 - 1450,000",Compuertas. - Compuertas.,,SIL,PONFERRADA,NORTE
,BARCENA (DIQUE DEL COLLADO),DIQUE DE CUBILLOS,Explotación,ESTADO,J.M. VILLAROEL,A,31-12-1960,01-01-1995,0207752,4720272,Hidroeléctrico                                    -  - Riego,-  -,,"832,000","707,000","1580,000","1450,000",,Materiales sueltos núcleo arcilla,"26,000","2381,600","628,000","602,000","0,000","920,170",000,-,000,-,-,,SIL,CUBILLOS DEL SIL Y PONFERRADA,NORTE
,BARRANCO DE LA GRANJA,,Explotación,COMUNIDAD DE REGANTES DE  LOS HERES,E. MARIN - GARCIA MANSILLA,,31-12-1972,--,-822886,3210216,Riego                                             -  -,-  -,,"2,400","0,000","0,000","18,000",,Gravedad,"28,000","92,000","660,000","632,000","0,000","18,000",000,-,001,"18,000 -","No, Labio fijo -",,GRANJA,GUIMAR,TENERIFE
,BARRANCO HONDO,,Explotación,J. MOLINA FALCON,G-MARTINON,,01-01-1956,--,-744558,3178376,Riego                                             -  -,-  -,,"0,740","0,000","0,000","0,000",,Gravedad,"25,000","70,200","190,000","165,000","165,000","6,000",000,-,001,"3,492 -","No, Labio fijo -",,BARRANCO HONDO,GUIA DE GRAN CANARIA,LAS PALMAS
,BARRANCO HONDO / PARRALES,,Explotación,GRACIANO MORALES,MELCHOR CAMON,,01-01-1969,--,-750889,3173922,Riego                                             -  -,-  -,,"1,490","0,000","0,000","0,000",,Gravedad,"30,000","119,000","290,000","260,000","265,000","21,000",000,-,001,"14,417 -","No, Labio fijo -",,BARRANCO HONDO,GALDAR,LAS PALMAS
