codpresa,Nombre,Nombre SEPREM,Otro nombre,Fecha,Anyo,Rio,Municipio,Cuenca,Provincia,x,y,Tipos
12350015,AGAETE / TIERRA DE MANUEL,AGAETE / TIERRA DE MANUEL,---,01/01/52,1952,BARRANCO AGAETE,AGAETE,LAS PALMAS,LAS PALMAS,749898,3169703,"Riego, ---, ---"
2340004,AGUILAR DE CAMPOO,AGUILAR DE CAMPOO,---,02/09/64,1964,PISUERGA,AGUILAR DE CAMPOO,DUERO,PALENCIA,394705,4739000,"HidroelŽctrico, Riego, Abastecimiento"
2340004,AGUILAR DE CAMPOO,AGUILAR DE CAMPOO (DIQUE DEL COLLADO 1),---,02/09/64,1964,PISUERGA,AGUILAR DE CAMPOO,DUERO,PALENCIA,394705,4739000,"HidroelŽctrico, Riego, Abastecimiento"
2340004,AGUILAR DE CAMPOO,AGUILAR DE CAMPOO (DIQUE DEL COLLADO 2),---,02/09/64,1964,PISUERGA,AGUILAR DE CAMPOO,DUERO,PALENCIA,394705,4739000,"HidroelŽctrico, Riego, Abastecimiento"
13380010,AGULO,AGULO,LA PALMI,31/12/58,1958,PALMITA,AGULO,TENERIFE,TENERIFE,901968,3200542,"Riego, ---, ---"
8160006,ALARCON,ALARCON,---,30/09/55,1955,JUCAR,ALARCON,JUCAR,CUENCA,576346,4379982,"Regulaci—n, Riego, Abastecimiento"
8120006,ALCORA,ALCORA,---,29/09/58,1958,LUCENA,ALCORA,JUCAR,CASTELLON,737177,4442329,"Riego, Regulaci—n, ---"
5110041,ALMODOVAR (DIQUE DEL COLLADO) (RECRECIDA),ALMODOVAR,---,01/01/72,1972,ALMODOVAR,TARIFA,GUADALETE Y BARBATE,CADIZ,261945,4004510,"Abastecimiento, Riego, ---"
3190001,ALMOGUERA,ALMOGUERA,---,01/01/47,1947,TAJO,ALMOGUERA,TAJO,GUADALAJARA,503585,4460330,"HidroelŽctrico, Regulaci—n, Riego"
8030027,AMADORIO,AMADORIO,---,24/02/60,1960,AMADORIO,VILLAJOYOSA,JUCAR,ALICANTE,738600,4268800,"Abastecimiento, Riego, ---"
3100070,ARAYA DE ARRIBA (DIQUE DEL COLLADO),ARAYA DE ARRIBA,---,01/01/58,1958,ANCIANES,BROZAS,TAJO,CACERES,184298,4380608,"Riego, ---, ---"
3100070,ARAYA DE ARRIBA (DIQUE DEL COLLADO),ARAYA DE ARRIBA (DIQUE DEL COLLADO),---,01/01/58,1958,ANCIANES,BROZAS,TAJO,CACERES,184298,4380608,"Riego, ---, ---"
5110031,ARCOS,ARCOS,---,01/01/65,1965,GUADALETE,ARCOS DE LA FRONTERA,GUADALETE Y BARBATE,CADIZ,250520,4071143,"HidroelŽctrico, Riego, ---"
5110031,ARCOS,ARCOS (DIQUE DEL COLLADO),---,01/01/65,1965,GUADALETE,ARCOS DE LA FRONTERA,GUADALETE Y BARBATE,CADIZ,250520,4071143,"HidroelŽctrico, Riego, ---"
7300010,ARGOS,ARGOS,---,01/12/72,1972,ARGOS,CEHEGIN,SEGURA,MURCIA,611000,4225906,"Defensa frente a avenidas, Riego, ---"
8440007,ARQUILLO DE SAN BLAS,ARQUILLO DE SAN BLAS,---,31/12/62,1962,GUADALAVIAR,TERUEL,JUCAR,TERUEL,653793,4469304,"Abastecimiento, Defensa frente a avenidas, Riego"
3280039,"ARROYOS, LOS (DIQUE DE COLA)","ARROYOS, LOS",---,31/12/67,1967,LADRON,"ESCORIAL, EL",TAJO,MADRID,411261,4493850,"Riego, ---, ---"
