DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,ACEBO,RIVERA DE ACEBO,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",OCP S.A.-M. JOCA S.A.,,31-01-1997,--,0184037,4461097,Abastecimiento                                    -  -,-  -,,"9,800","7,630","1335,000","194,000",,,"34,000","150,090","568,500","534,500","540,000","35,680",001,"6,220 -",001,"159,700 -","No, Labio fijo -",,RIBERA DE ACEBO,ACEBO,TAJO
,ACEHUCHE,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",ANDRÉS GONZALEZ MERAS,C,31-12-1977,01-12-1992,0194081,4412473,Abastecimiento                                    -  -,-  -,,"14,700","2,440","571,000","15,000",,Gravedad,"13,500","188,600","304,000","290,500","293,500","4,592",001,"0,000 -",001,"7,000 -","No, Labio fijo -",,ARROYO DE LA GARGANTA,ACEHUCHE,TAJO
,"ACEÑA, LA",,Explotación,ESTADO,J. NISTAL,A,31-12-1989,--,0396755,4495825,Abastecimiento                                    -  -,-  -,,"47,860","21,000","806,000","274,000",,Gravedad,"66,500","323,000","1319,000","1252,500","1257,500","126,000",001,"40,000 -",001,"143,000 -","No, Labio fijo -",,ACEÑA (FUENSANTA),PEGUERINOS,TAJO
,ACIBAL / PONTILLON CASTRO,,Explotación,CONCELLO  PONTEVEDRA,A. IRIBARREN NEGRAO,A,31-12-1943,01-01-1956,0037937,4720650,Abastecimiento                                    -  -,-  -,,"6,000","0,000","0,000","0,000",,Gravedad,"23,000","158,500","190,000","167,000","169,000","20,490",000,-,001,"50,000 -","No, Labio fijo -",,LOURAL,PONTEVEDRA,GALICIA COSTA
,ADEYAHAMEN,,Explotación,"GOBIERNO DE CANARIAS. CONSEJERIA DE OBRAS PUBLICAS, VIVIENDA Y AGUAS",,A,31-12-1995,--,-951179,3277854,Riego                                             -  -,-  -,,"0,000","0,000","0,000","4,900",,Materiales sueltos homogenea,"26,000","99,750","361,000","335,000","335,000","104,040",001,"0,000 -",001,"0,000 -","No, Labio fijo -",,SIN RIO,SAN ANDRES Y SAUCES,TENERIFE
,AGAETE / TIERRA DE MANUEL,,Explotación,AYUNTAMIENTO DE AGAETE,R. GLZ. NEGRIN,,01-01-1952,--,-749898,3169703,Riego                                             -  -,-  -,,"21,430","0,000","0,000","0,000",,Gravedad,"22,000","30,000","484,000","462,000","462,000","2,000",000,-,001,"13668,000 -","No, Labio fijo -",,BARRANCO AGAETE,AGAETE,LAS PALMAS
,AGRIO (DERIVACION),,Explotación,ANDALUZA DE PIRITAS,INTECSA,,31-12-1978,--,0211483,4158483,Abastecimiento                                    -  - Industrial,-  -,,"2,000","0,000","0,000","56,000",,Materiales sueltos núcleo arcilla,"24,000","92,800","80,000","56,000","61,000","60,000",001,"40,000 -",001,"60,000 -","No, Labio fijo -",,AGRIO,AZNALCOLLAR,GUADALQUIVIR
,"AGRIO, EL",,Explotación,BOLIDEN APIRSA S.A.,INTECSA,A,31-12-1977,--,0209532,4159174,Abastecimiento                                    -  - Industrial,-  -,,"228,000","38,000","696,000","332,000",,Materiales sueltos P asfáltica,"45,700","231,500","109,500","63,800","67,500","306,000",002,"16,000 - 4,900",002,"40,000 - 80,000","No, Labio fijo - No, Labio fijo",,AGRIO,AZNALCOLLAR,GUADALQUIVIR
,AGUA,,Explotación,RIOTINTO MINERA,J. BEZARES / EPTISA,,31-12-1971,--,0183707,4182038,Industrial                                        -  -,-  -,,"4,370","0,000","0,000","18,000",,Materiales sueltos núcleo arcilla,"29,000","1400,000","378,000","349,000","351,000","400,000",000,-,001,"61,000 -","No, Labio fijo -",,REJONDILLO,ARACENA,C. ATLÁNTICA ANDALUZA
,AGUA BLANCA,,Explotación,AYUNTAMIENTO DE NIEBLA,,C,31-12-1986,--,0170437,4156935,Riego                                             -  -,-  -,,"1,000","0,000","700,000","0,000",,ErrNA,"6,000","80,000","187,000","0,000","181,000","0,000",000,-,002,"0,000 - 8,500","Compuertas. - No, Labio fijo",,,NIEBLA,C. ATLÁNTICA ANDALUZA
,AGUASCEBAS,,Explotación,ESTADO,J. CHASTANG - J. MORIENTES,,31-12-1967,--,0504460,4210848,Abastecimiento                                    -  -,-  -,,"18,000","22,000","1370,000","70,000",,,"58,000","565,600","1018,300","960,300","964,000","98,500",001,"7,550 -",001,"70,000 -","No, Labio fijo -",,AGUASCEBAS CHICO,"VILLACARRILLO, MOGON",GUADALQUIVIR
,AGUEDA,,Explotación,ESTADO,V. GARCIA ANTON,A,31-12-1931,--,0204844,4492516,Abastecimiento                                    -  - Riego,-  -,,"910,000","415,000","597,000","2100,000",,Gravedad,"37,600","195,700","639,600","602,000","605,000","76,240",001,"0,000 -",002,"0,000 - 1150,000","Compuertas. - No, Labio fijo",,AGUEDA,ZAMARRA Y PASTORES,DUERO
,"AGUIJON, EL",,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",E. GIRONA MENDOZA,A,31-12-1995,--,0157847,4266080,Abastecimiento                                    -  -,-  -,,"104,000","19,000","0,000","410,000",,Gravedad,"28,000","360,500","386,500","353,000","356,000","76,000",000,-,001,"428,000 -","No, Labio fijo -",,ALCARRACHE,"HIGUERA DE VARGAS, BARCARROTA",GUADIANA
,"AGUILA, EL",,Explotación,JOSÉ RISQUETE BORRERO,E. LUQUE,C,31-12-1983,--,0211402,4330890,Riego                                             -  -,-  -,,"5,550","90,000","545,000","18,500",,Materiales sueltos homogenea,"16,000","167,000","324,000","308,000","310,000","57,500",001,"0,300 -",002,"25,400 - 18,600","No, Labio fijo - No, Labio fijo",,FUENTE PORRO (PUENTE PORRO),MERIDA,GUADIANA
,AGUILAR DE CAMPOO,,Explotación,ESTADO,L. DIAZ-CANEJA,A,31-12-1963,--,0394705,4739000,Hidroeléctrico                                    -  - Riego,-  -,,"546,000","338,000","624,500","700,000",,Gravedad,"48,000","500,000","943,300","895,300","900,000","269,000",000,-,001,"750,000 -",Compuertas. -,,PISUERGA,AGUILAR DE CAMPOO,DUERO
